Ag,Al,Au,B,Be,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Gd,Ge,Hf,Ho,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pd,Pr,Pt,Sc,Si,Sm,Sn,Sr,Ta,Tb,Ti,Tm,V,Y,Yb,Zn,Zr,AR,RS,Va,delta,EN,G,calculate G,K,calculate K,KG,KK
0,0,0,6,0,15,0,0,0,6,0,0,0,59,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9,0.030755714,9.628792988,0.215576971,0.0866,77.4,NA,188,108.8466363,0.984121919,0.008957534
0,0,0,6,0,15,0,0,0,4,0,0,0.5,60.5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.075,0.031018085,9.683569274,0.216810653,0.08705,76.6,NA,184,107.9434495,0.984017067,0.008883909
0,0,0,5.7,0,12.35,0,0,0,9.5,0,0,1.9,57,0,0,0,0,0,0,0,0,0,0,8.55,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.0625,0.027278881,10.00128089,0.202731438,0.035745,76.6,NA,166.6,111.7496298,0.999628233,0.008409685
0,0,0,5.88,0,12.74,0,0,0,9.8,0,0,1.96,58.8,0,0,0,0,2,0,0,0,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.275,0.028442805,10.09750908,0.207249285,0.033958,76.3,NA,142.2,0.049977648,0.99984219,0.008290859
0,0,0,6,0,15,0,0,5.85,6,0,0,0.5,52.65,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.7825,0.030841149,9.614068605,0.216423824,0.086575,76.2,NA,190,108.0807037,0.984183481,0.008977632
0,0,0,6,0,16,0,0,0,4,0,0,0,50,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.2,0.032155762,9.528220135,0.221098954,0.0692,76.1,NA,180,103.4212761,0.992938738,0.009072263
0,0,0,3,0,18,0,0,5.85,6,0,0,0.5,52.65,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.3325,0.03311013,9.579998032,0.223472525,0.101875,75.3,NA,187,99.32768769,0.976155981,0.009045694
0,0,0,2,0,19,0,0,5.85,6,0,0,0.5,52.65,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.1825,0.033863641,9.568641175,0.22578187,0.106975,74.4,NA,188,96.71678811,0.973145245,0.009068575
0,0,0,23,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.65,0.02031221,9.518633041,0.182838997,-0.0355,73.4,NA,182.6,190.5429072,0.984139812,0.008941265
0,0,0,23,0,0,0,0,0,0,0,0,0,53.25,0,0,0,0,0,0,0,0,0,0,0,6,0,17.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.7625,0.01979058,9.307754943,0.18100488,-0.0213,73.4,NA,186.5,192.6724647,0.991328611,0.009256571
0,0,0,6,0,15,0,0,6.4,0,0,0,1,57.6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.93,0.031088187,9.66231064,0.21762317,0.0941,73,NA,177,107.3800854,0.9798878,0.008922146
0,0,0,6,0,15,0,0,6.425,0,0,0,0.75,57.825,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.84125,0.030955689,9.634625485,0.217005747,0.0955875,73,NA,176,107.8688169,0.978866563,0.008961841
0,0,0,6,0,15,0,0,6.45,0,0,0,0.5,58.05,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.7525,0.030822701,9.606940331,0.216382451,0.097075,73,NA,175,108.3620176,0.977821704,0.009001835
0,0,0,6,0,15,0,0,6.475,0,0,0,0.25,58.275,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.66375,0.030689223,9.579255177,0.215753218,0.0985625,73,NA,175,108.859749,0.976753389,0.00904213
0,0,0,6,0,15,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9,0.030755714,9.628792988,0.215576971,0.0968,73,NA,195,109.1086092,0.977957125,0.008971472
0,0,0,6,0,15,0,0,6.4875,0,0,0,0.125,58.3875,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.619375,0.0306223,9.565412599,0.215436353,0.09930625,73,NA,178,109.1103334,0.976210487,0.009062392
0,0,0,5,0,7,0,0,0,3,0,0,0,63,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.95,0.020688436,9.76654659,0.179397094,0.0614,68.8,NA,179,63.35733283,0.991486235,0.008739717
0,0,0,3,0,10,0,0,0,3,0,0,0,68,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.45,0.022615939,9.909949822,0.184099259,0.0578,67.6,NA,172,75.75251931,0.993624869,0.00855077
